opening_move,sim,turn,Player,move,move_desc,Random Event,Effect on Player 1,Effect on Player 2
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"The client presents with a constellation of symptoms including anxiety attacks, inattention, impulsive sexual behavior, depressive humor, and repetitive motor movements. These are key indicators of a potential ADHD diagnosis.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"The Diagnostic Criteria for ADHD include inattention, hyperactivity, and impulsivity. The client's symptoms align strongly with these core features. The presence of repetitive motor movements further supports this diagnosis.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"While other conditions like anxiety disorders, depression, and borderline personality disorder can present with some of these symptoms, the combination and prevalence of inattention, hyperactivity, and impulsivity are highly characteristic of ADHD. The client's history and current presentation are more consistent with ADHD than with these alternative diagnoses.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,The client's impulsive sexual behavior and potentially other impulsive behaviors (not explicitly stated but implied by the diagnosis) are consistent with the ADHD diagnostic criteria. Impulsivity is a core symptom of ADHD.,,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"The client's reported inattention is a key symptom of ADHD. This could manifest as difficulty focusing, easily being distracted, and often being forgetful. These are all core features of the disorder.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"Depressive humor can be a co-occurring condition with ADHD, or it can be a symptom of ADHD itself. It's important to consider both possibilities when evaluating the client's presentation.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"Repetitive motor movements (e.g., fidgeting, restlessness) are a common symptom of ADHD, particularly hyperactivity. These movements can be a manifestation of the underlying neurological condition.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"In summary, the client's symptoms – anxiety attacks, inattention, impulsive sexual behavior, depressive humor, and repetitive motor movements – strongly suggest a diagnosis of ADHD. The combination of these symptoms, along with the diagnostic criteria for ADHD, makes this the most likely diagnosis.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,0,Player 1,"Further assessment, including a detailed history, cognitive testing, and potentially a review of medical records, is recommended to confirm the diagnosis and rule out other conditions.",,,,
"Opening Move: Um cliente de psicologia tem os seguintes sintomas: Ataques de ansiedade, Desatento, Impulsividade sexual, Humor depressivo , Movimentos motores repetitivos. Eu (jogador 1) acredito ser Défice de atenção e hiperatividade (impulsividade), tu (jogador 2) debates comigo.",0,1,Player 2,"While the client presents with several symptoms that *could* overlap with ADHD, the combination and the presence of specific features like impulsive sexual behavior and repetitive motor movements are more suggestive of a potential underlying condition like a mood disorder or a neurodevelopmental disorder with a strong emotional component.",,,,
